"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Zarah Sultana","@zarahsultana","Labour","Coventry South",254330,87
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",14182,3
"Yvette Cooper ","@YvetteCooperMP","Labour","Normanton, Pontefract and Castleford",375461,100
"Yasmin Qureshi ","@YasminQureshiMP","Labour","Bolton South East",25430,-1
"William Wragg ","@William_Wragg","Conservative","Hazel Grove",19363,-2
"William Cash ","@BillCashMP","Conservative","Stone",20520,1
"Will Quince ","@willquince","Conservative","Colchester",20648,3
"Wes Streeting ","@wesstreeting","Labour","Ilford North",133965,60
"Wera Hobhouse","@Wera_Hobhouse","Liberal Democrat","Bath",23735,6
"Wendy Morton ","@morton_wendy","Conservative","Aldridge-Brownhills",18985,-2
"Wendy Chamberlain","@wendychambLD","Liberal Democrat","North East Fife",7733,5
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",15228,9
"Virendra Sharma ","@VirendraSharma","Labour","Ealing, Southall",20311,0
"Victoria Prentis ","@VictoriaPrentis","Conservative","Banbury",13952,3
"Vicky Foxcroft ","@vickyfoxcroft","Labour","Lewisham, Deptford",22758,9
"Vicky Ford","@vickyford","Conservative","Chelmsford",38623,15
"Valerie Vaz ","@Valerie_VazMP","Labour","Walsall South",8445,2
"Tulip Siddiq ","@TulipSiddiq","Labour","Hampstead and Kilburn",195126,9
"Tracy Brabin ","@TracyBrabin","Labour","Batley and Spen",67627,9
"Tracey Crouch ","@tracey_crouch","Conservative","Chatham and Aylesford",41361,1
"Tony Lloyd","@tony4rochdale","Labour","Rochdale",9446,2
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",17923,1
"Tommy Sheppard ","@TommySheppard","Scottish National Party","Edinburgh East",38726,3
"Tom Tugendhat ","@TomTugendhat","Conservative","Tonbridge and Malling",115618,16
"Tom Randall","@Tom_Randall","Conservative","Gedling",4884,10
"Tom Pursglove ","@VotePursglove","Conservative","Corby",14454,6
"Tom Hunt","@tomhunt1988","Conservative","Ipswich",13348,1
"Toby Perkins ","@tobyperkinsmp","Labour","Chesterfield",29737,3
"Tobias Ellwood","@Tobias_Ellwood","Conservative","Bournemouth East",85788,548
"Tim Loughton ","@timloughton","Conservative","East Worthing and Shoreham",22346,6
"Tim Farron","@timfarron","Liberal Democrat","Westmorland and Lonsdale",288301,29
"Theresa May ","@theresa_may","Conservative","Maidenhead",1009875,5
"Theo Clarke","@theodoraclarke","Conservative","Stafford",8910,-2
"Thangam Debbonaire ","@ThangamMP","Labour","Bristol West",36228,9
"Tanmanjit Singh Dhesi","@TanDhesi","Labour","Slough",97746,24
"Taiwo Owatemi","@TaiwoOwatemi","Labour","Coventry North West",21327,4
"Tahir Ali","@TahirAliMP","Labour","Birmingham, Hall Green",3663,0
"Suzanne Webb","@Q66Suzi","Conservative","Stourbridge",5168,7
